Confraternização Universal;01/01/2015
Carnaval;17/02/2015
Sexta-feira da Paixão;03/04/2015
Páscoa;05/04/2015
Tiradentes;21/04/2015
Dia do Trabalho;01/05/2015
Corpus Christi;04/06/2015
Independência;07/09/2015
Nossa Senhora Aparecida;12/10/2015
Finados;02/11/2015
Proclamação da República;15/11/2015
Evangélico;30/11/2015
Natal;25/12/2015
Confraternização Universal;01/01/2016
Carnaval;09/02/2016
Sexta-feira da Paixão;25/03/2016
Páscoa;27/03/2016
Tiradentes;21/04/2016
Dia do Trabalho;01/05/2016
Corpus Christi;26/05/2016
Independência;07/09/2016
Nossa Senhora Aparecida;12/10/2016
Finados;02/11/2016
Proclamação da República;15/11/2016
Evangélico;30/11/2016
Natal;25/12/2016
Confraternização Universal;01/01/2017
Carnaval;28/02/2017
Sexta-feira da Paixão;14/04/2017
Páscoa;16/04/2017
Tiradentes;21/04/2017
Dia do Trabalho;01/05/2017
Corpus Christi;15/06/2017
Independência;07/09/2017
Nossa Senhora Aparecida;12/10/2017
Finados;02/11/2017
Proclamação da República;15/11/2017
Evangélico;30/11/2017
Natal;25/12/2017
Confraternização Universal;01/01/2018
Carnaval;13/02/2018
Sexta-feira da Paixão;30/03/2018
Páscoa;01/04/2018
Tiradentes;21/04/2018
Dia do Trabalho;01/05/2018
Corpus Christi;31/05/2018
Independência;07/09/2018
Nossa Senhora Aparecida;12/10/2018
Finados;02/11/2018
Proclamação da República;15/11/2018
Evangélico;30/11/2018
Natal;25/12/2018
Confraternização Universal;01/01/2019
Carnaval;05/03/2019
Sexta-feira da Paixão;19/04/2019
Páscoa;21/04/2019
Tiradentes;21/04/2019
Dia do Trabalho;01/05/2019
Corpus Christi;20/06/2019
Independência;07/09/2019
Nossa Senhora Aparecida;12/10/2019
Finados;02/11/2019
Proclamação da República;15/11/2019
Evangélico;30/11/2019
Natal;25/12/2019
Confraternização Universal;01/01/2020
Carnaval;25/02/2020
Sexta-feira da Paixão;10/04/2020
Páscoa;12/04/2020
Tiradentes;21/04/2020
Dia do Trabalho;01/05/2019
Corpus Christi;11/06/2020
Independência;07/09/2020
Nossa Senhora Aparecida;12/10/2020
Finados;02/11/2020
Proclamação da República;15/11/2020
Evangélico;30/11/2020
Natal;25/12/2020
Confraternização Universal;01/01/2021
Carnaval;16/02/2021
Sexta-feira da Paixão;02/04/2021
Páscoa;04/04/2021
Tiradentes;21/04/2021
Dia do Trabalho;01/05/2021
Corpus Christi;03/06/2021
Independência;07/09/2021
Nossa Senhora Aparecida;12/10/2021
Finados;02/11/2021
Proclamação da República;15/11/2021
Evangélico;30/11/2021
Natal;25/12/2021
Confraternização Universal;01/01/2022
Carnaval;01/03/2022
Sexta-feira da Paixão;15/04/2022
Páscoa;17/04/2022
Tiradentes;21/04/2022
Dia do Trabalho;01/05/2022
Corpus Christi;16/06/2022
Independência;07/09/2022
Nossa Senhora Aparecida;12/10/2022
Finados;02/11/2022
Proclamação da República;15/11/2022
Evangélico;30/11/2022
Natal;25/12/2022
Confraternização Universal;01/01/2023
Carnaval;21/02/2023
Sexta-feira da Paixão;07/04/2023
Páscoa;19/04/2023
Tiradentes;21/04/2023
Dia do Trabalho;01/05/2023
Corpus Christi;08/06/2023
Independência;07/09/2023
Nossa Senhora Aparecida;12/10/2023
Finados;02/11/2023
Proclamação da República;15/11/2023
Evangélico;30/11/2023
Natal;25/12/2023
Confraternização Universal;01/01/2024
Carnaval;13/02/2024
Sexta-feira da Paixão;29/03/2024
Páscoa;31/03/2024
Tiradentes;21/04/2024
Dia do Trabalho;01/05/2024
Corpus Christi;30/05/2024
Independência;07/09/2024
Nossa Senhora Aparecida;12/10/2024
Finados;02/11/2024
Proclamação da República;15/11/2024
Evangélico;30/11/2024
Natal;25/12/2024
